id,title,genres
1413602,WWE Raw on Netflix Premier Post-Show,
507244,Afterburn,Science Fiction;Action;Comedy
1156594,Our Fault,Romance;Drama
755898,War of the Worlds,Science Fiction;Thriller
1305717,Hunting Grounds,Action;Thriller
1306525,The Elixir,Horror;Thriller
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Animation;Action;Fantasy;Thriller
1511789,Captain Hook - The Cursed Tides,Adventure;Action;Horror
1290159,A House of Dynamite,Thriller;War
604079,The Long Walk,Thriller
1280450,Stolen Girl,Thriller;Action;Adventure
861451,Martin,Action;Drama;Thriller
1038392,The Conjuring: Last Rites,Horror
1218925,Chainsaw Man - The Movie: Reze Arc,Animation;Action;Romance;Fantasy
1519168,The Jester 2,Horror;Thriller;Crime
1072699,Inside Furioza,Action;Crime;Thriller
1284120,The Ugly Stepsister,Horror;Comedy;Fantasy;Drama
7451,xXx,Action;Adventure;Thriller;Crime
1197137,Black Phone 2,Horror;Thriller
1010581,My Fault,Drama;Romance;Thriller
617126,The Fantastic 4: First Steps,Science Fiction;Adventure
803796,KPop Demon Hunters,Fantasy;Music;Comedy;Animation
338969,The Toxic Avenger Unrated,Action;Comedy;Science Fiction
793387,Holy Night: Demon Hunters,Action;Fantasy;Horror;Thriller
1362315,The Hand That Rocks the Cradle,Thriller;Horror
1156593,Your Fault,Drama;Romance
1086910,The Lost Princess,Action;Adventure
1244039,Butchers Book Two: Raghorn,Horror
1186350,Marco,Action;Crime;Thriller
1107216,Pets on a Train,Animation;Comedy;Adventure;Thriller
1327862,Regretting You,Romance;Drama
1010756,The Strangers: Chapter 2,Horror;Thriller
1202863,From Darkness,Horror;Mystery;Thriller
1257009,Primitive War,Action;Horror;War
1078605,Weapons,Horror;Mystery
575265,Mission: Impossible - The Final Reckoning,Action;Adventure;Thriller
1328402,The People In The Walls,Horror;Thriller;Mystery
1061474,Superman,Science Fiction;Adventure;Action
1417,Pan's Labyrinth,Fantasy;Drama;War
949855,Black Mold,Horror;Thriller;Drama;TV Movie
941109,Play Dirty,Crime
1267905,The Roses,Comedy;Drama;Romance
1291661,Tide,Horror
1086260,The Astronaut,Horror;Science Fiction;Thriller
533533,TRON: Ares,Science Fiction;Adventure;Action
1109086,War 2,Action;Adventure;Thriller
1419027,Attack 13,Horror;Thriller
1234821,Jurassic World Rebirth,Science Fiction;Adventure;Action
927254,The Twits,Animation;Comedy;Family;Fantasy
1535290,Host,Horror
1499837,Fantasmagoría,Horror
1062722,Frankenstein,Drama;Horror;Science Fiction
1330421,Bone Lake,Horror;Thriller;Mystery
1328803,Prisoner of War,Action;War;Thriller;History
1422096,Good Boy,Horror;Thriller
1327769,27 Nights,Comedy
1073079,Kill Her Goats,Horror
1386827,Coyotes,Horror;Comedy
1383557,Revival,Horror;Thriller;Science Fiction
1087192,How to Train Your Dragon,Fantasy;Family;Action;Adventure
1169210,The Mannequin,Horror;Thriller;Crime;Mystery
1267319,Mantis,Action;Crime;Thriller
1042834,Eden,Thriller;Drama
354912,Coco,Family;Animation;Music;Adventure
1009640,Valiant One,War;Thriller;Action
157336,Interstellar,Adventure;Drama;Science Fiction
911430,F1,Action;Drama
980477,Ne Zha 2,Animation;Fantasy;Adventure;Action
1290879,The Woman in Cabin 10,Mystery;Thriller;Crime
756999,The Black Phone,Horror;Thriller
1054867,One Battle After Another,Action;Thriller;Crime
1299046,Diamonds,Comedy;Drama
1007734,Nobody 2,Action;Thriller
1502943,Night of the Reaper,Horror;Thriller
1364608,Anemone,Drama
1403735,Laila,Comedy;Romance
1175942,The Bad Guys 2,Family;Comedy;Crime;Adventure;Animation
1027950,Hotel Dunsmuir,Horror
1357886,Django Undisputed,Western
1277988,Caramelo,Comedy;Drama
552524,Lilo & Stitch,Family;Science Fiction;Comedy;Adventure
1280282,Gabby's Dollhouse: The Movie,Family;Comedy;Adventure;Animation
24428,The Avengers,Science Fiction;Action;Adventure
1053008,Fight Another Day,Action
541671,Ballerina,Action;Thriller;Crime
1373445,V/H/S/Halloween,Horror;Thriller
1470086,Ligaw,Drama;Romance
1294203,My Fault: London,Romance;Drama
3933,Corpse Bride,Romance;Fantasy;Animation
934201,The Prank,Comedy;Thriller;Crime;Horror
574475,Final Destination Bloodlines,Horror;Mystery
1549292,LEGO Frozen: Operation Puffins,Animation;Family;Fantasy
198663,The Maze Runner,Action;Mystery;Science Fiction;Thriller
1035259,The Naked Gun,Comedy;Action;Crime
1119878,Ice Road: Vengeance,Action;Thriller;Drama
933260,The Substance,Drama;Horror;Science Fiction
155,The Dark Knight,Drama;Action;Crime;Thriller
615453,Ne Zha,Animation;Fantasy;Adventure
14836,Coraline,Animation;Family;Fantasy
1010600,The Strangers: Chapter 1,Horror;Thriller
701387,Bugonia,Comedy;Science Fiction;Crime
1084242,Zootopia 2,Family;Comedy;Adventure;Animation;Mystery
1071585,M3GAN 2.0,Action;Science Fiction;Thriller
1235746,Dead of Winter,Thriller
1252309,Tell Me What You Want,Romance;Drama
1241982,Moana 2,Family;Comedy;Adventure;Animation;Fantasy
1256208,E poi si vede,Comedy
1235294,La Réparation,Drama
1552819,Assassin,Action
1251717,Vicious,Horror;Thriller
474350,It Chapter Two,Horror;Thriller
950396,The Gorge,Romance;Science Fiction;Thriller
1197306,A Working Man,Action;Crime;Thriller
1186274,Goldilocks and the Three Bears: Death & Porridge,Horror;Thriller
9479,The Nightmare Before Christmas,Fantasy;Animation;Family
1022787,Elio,Family;Comedy;Adventure;Animation;Science Fiction
1382406,Striking Rescue,Action;Crime;Thriller
1242898,Predator: Badlands,Action;Science Fiction
1246049,Dracula: A Love Tale,Horror;Fantasy;Romance
1364992,Forgive Me Father,Thriller;Horror;Crime
1364992,Forgive Me Father,Thriller;Horror;Crime
671,Harry Potter and the Philosopher's Stone,Adventure;Fantasy
807,Se7en,Crime;Mystery;Thriller
666950,An Affair: Kind Daughters-in-law 3,Romance
1296404,Good News,Thriller;Comedy;History
1236470,The Lost Bus,Drama;Mystery;Thriller
76600,Avatar: The Way of Water,Action;Adventure;Science Fiction
13494,Red Sonja,Adventure;Action;Fantasy
742070,Little Nina & The Piano Thieves,Music;Fantasy;Adventure;Family
1049942,Bambi: The Reckoning,Horror;Thriller
238,The Godfather,Drama;Crime
1022789,Inside Out 2,Animation;Adventure;Comedy;Family
533535,Deadpool & Wolverine,Action;Comedy;Science Fiction
278,The Shawshank Redemption,Drama;Crime
950387,A Minecraft Movie,Family;Fantasy;Comedy;Adventure;Action
936108,Smurfs,Animation;Family;Fantasy
1233413,Sinners,Horror;Action;Thriller
299536,Avengers: Infinity War,Adventure;Action;Science Fiction
1151031,Bring Her Back,Horror;Drama
987400,Aztec Batman: Clash of Empires,Animation;Action;Adventure;Fantasy
346364,It,Horror;Thriller
986056,Thunderbolts*,Action;Science Fiction;Adventure
81467,Laura's Toys,Drama
9806,The Incredibles,Action;Adventure;Animation;Family
1130044,Un paseo por el Borne,Drama;Comedy
1221415,Brute 1976,Horror
27205,Inception,Action;Science Fiction;Adventure
597,Titanic,Drama;Romance
120,The Lord of the Rings: The Fellowship of the Ring,Adventure;Fantasy;Action
1081196,Four Mothers,Comedy;Drama
986097,HIM,Horror;Mystery
269149,Zootopia,Animation;Adventure;Family;Comedy
537915,After,Romance;Drama
1011477,Karate Kid: Legends,Action;Adventure;Drama
1352755,Maintenance Required,Romance;Comedy
1100988,28 Years Later,Horror;Thriller;Science Fiction
138843,The Conjuring,Horror;Thriller
19995,Avatar,Action;Adventure;Fantasy;Science Fiction
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure;Family;Fantasy
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure;Fantasy;Action
402431,Wicked,Drama;Romance;Fantasy
385687,Fast X,Action;Crime;Thriller;Adventure;Mystery
749170,Heads of State,Action;Thriller;Comedy
1196364,Thamma,Comedy;Horror
1242011,Together,Horror;Romance
986206,Night Carnage,Action;Horror;Romance
1083433,I Know What You Did Last Summer,Horror;Mystery;Thriller
1100988,28 Years Later,Horror;Thriller;Science Fiction
672,Harry Potter and the Chamber of Secrets,Adventure;Fantasy
870028,The Accountant²,Mystery;Crime;Thriller
674,Harry Potter and the Goblet of Fire,Adventure;Fantasy
939243,Sonic the Hedgehog 3,Action;Science Fiction;Comedy;Family
106646,The Wolf of Wall Street,Crime;Drama;Comedy
122,The Lord of the Rings: The Return of the King,Adventure;Fantasy;Action
216015,Fifty Shades of Grey,Drama;Romance;Thriller
605,The Matrix Revolutions,Adventure;Action;Thriller;Science Fiction
519182,Despicable Me 4,Family;Comedy;Animation;Science Fiction
808,Shrek,Animation;Comedy;Fantasy;Adventure;Family
1028248,As Good as Dead,Action;Crime
1326106,Kaiju No. 8: Mission Recon,Animation;Action;Science Fiction
107257,A Perfect Ending,Drama;Romance
1125257,Freakier Friday,Comedy;Fantasy;Family
823219,Flow,Animation;Adventure;Fantasy;Family
496243,Parasite,Comedy;Thriller;Drama
1422211,The Pursuit of Lust,Romance;Drama
1045205,Someday We'll Tell Each Other Everything,Drama
1275151,She Walks in Darkness,Drama;Thriller
912649,Venom: The Last Dance,Action;Science Fiction;Adventure
1151334,Eenie Meanie,Thriller;Action;Comedy
1118770,Nineteen,Drama
872585,Oppenheimer,Drama;History
1419406,The Shadow's Edge,Action;Crime;Thriller
1565344,Parking,Comedy;Drama
634649,Spider-Man: No Way Home,Action;Adventure;Science Fiction
845781,Red One,Action;Comedy;Fantasy
83533,Avatar: Fire and Ash,Science Fiction;Adventure;Fantasy
58008,Night Nurse,Comedy
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation;Action;Fantasy;Thriller
947512,Living Large,Animation;Family;Comedy
1034541,Terrifier 3,Horror;Thriller
1034541,Terrifier 3,Horror;Thriller
1256724,The Summer of Our Love,Comedy;Romance;Music
673,Harry Potter and the Prisoner of Azkaban,Adventure;Fantasy
918044,Winter Boy,Drama
8966,Twilight,Fantasy;Drama;Romance
359410,Road House,Action;Thriller
945961,Alien: Romulus,Horror;Science Fiction
1084199,Companion,Horror;Science Fiction;Thriller
1184918,The Wild Robot,Animation;Science Fiction;Family;Drama
129,Spirited Away,Animation;Family;Fantasy
603,The Matrix,Action;Science Fiction
1241470,Osiris,Science Fiction;Action;Horror
1144107,The Legend of Hei 2,Animation;Fantasy;Action
1450529,Gunman,Thriller;Action
1124620,The Monkey,Horror;Comedy
260513,Incredibles 2,Action;Adventure;Animation;Family
1376434,Predator: Killer of Killers,Animation;Action;Science Fiction;Thriller
10439,Hocus Pocus,Fantasy;Comedy;Family
4232,Scream,Crime;Horror;Mystery
1337395,Kiskisan,Drama
1125257,Freakier Friday,Comedy;Fantasy;Family
539972,Kraven the Hunter,Action;Adventure;Thriller
550,Fight Club,Drama;Thriller
109445,Frozen,Animation;Family;Adventure;Fantasy
447273,Snow White,Family;Fantasy
105,Back to the Future,Adventure;Comedy;Science Fiction
438631,Dune,Science Fiction;Adventure
1865,Pirates of the Caribbean: On Stranger Tides,Adventure;Action;Fantasy
315635,Spider-Man: Homecoming,Action;Adventure;Science Fiction
822119,Captain America: Brave New World,Action;Thriller;Science Fiction
1230368,Springsteen: Deliver Me from Nowhere,Drama;Music
20526,TRON: Legacy,Adventure;Action;Science Fiction
1155281,Creation of the Gods II: Demon Force,Action;Fantasy;War
1377413,St. Patrick's Day Massacre,Horror
967941,Wicked: For Good,Romance;Fantasy;Adventure
637649,Wrath of Man,Thriller;Crime;Drama
1029575,The Family Plan,Action;Comedy;Family
1241921,A Big Bold Beautiful Journey,Romance;Fantasy;Drama
1011985,Kung Fu Panda 4,Animation;Family;Action;Comedy;Adventure;Fantasy
948,Halloween,Horror;Thriller
1244953,Trust,Thriller
1185528,Legends of the Condor Heroes: The Gallants,Action;Drama;History
790462,I.S.S.,Science Fiction;Thriller
1064213,Anora,Drama;Comedy;Romance
675,Harry Potter and the Order of the Phoenix,Adventure;Fantasy
862,Toy Story,Family;Comedy;Animation;Adventure
1086548,Vera and the Pleasure of Others,Comedy;Drama
228150,Fury,War;Drama;Action
2062,Ratatouille,Animation;Comedy;Family;Fantasy
361743,Top Gun: Maverick,Action;Drama
4247,Scary Movie,Comedy
150689,Cinderella,Romance;Fantasy;Family;Drama
870360,The Day the Earth Blew Up: A Looney Tunes Movie,Family;Comedy;Adventure;Animation;Science Fiction
285,Pirates of the Caribbean: At World's End,Adventure;Fantasy;Action
273477,Scouts Guide to the Zombie Apocalypse,Comedy;Horror
1492108,Kandungan,Romance;Drama
425,Ice Age,Animation;Comedy;Family;Adventure
585,"Monsters, Inc.",Animation;Comedy;Family
569094,Spider-Man: Across the Spider-Verse,Animation;Action;Adventure;Science Fiction
1100782,Smile 2,Horror;Mystery
937941,Shelby Oaks,Horror;Mystery
346698,Barbie,Comedy;Adventure
348,Alien,Horror;Science Fiction
1202479,Opus,Horror;Mystery;Thriller
13,Forrest Gump,Comedy;Drama;Romance
680,Pulp Fiction,Thriller;Crime;Comedy
337167,Fifty Shades Freed,Drama;Romance
1245993,Caught Stealing,Crime;Thriller;Comedy
713364,Clown in a Cornfield,Horror;Mystery;Thriller
210577,Gone Girl,Mystery;Thriller;Drama
372058,Your Name.,Animation;Romance;Drama
106,Predator,Science Fiction;Action;Adventure;Thriller
290098,The Handmaiden,Thriller;Drama;Romance
98566,Teenage Mutant Ninja Turtles,Science Fiction;Action;Adventure;Comedy
693134,Dune: Part Two,Science Fiction;Adventure
762509,Mufasa: The Lion King,Adventure;Family;Animation
814662,Kakushigoto Theatrical Edition,Animation;Comedy
1400782,The Perfect Neighbor,Documentary;Thriller;Crime
843527,The Idea of You,Romance;Drama;Comedy
423108,The Conjuring: The Devil Made Me Do It,Horror;Mystery;Thriller
1498658,Mantis,
162,Edward Scissorhands,Fantasy;Drama;Romance
1087891,The Amateur,Thriller;Action
436969,The Suicide Squad,Action;Comedy;Adventure
11,Star Wars,Adventure;Action;Science Fiction
506763,Detective Dee: The Four Heavenly Kings,Action;Fantasy;Adventure;Mystery
1106289,The Pickup,Action;Comedy;Crime
1242434,Highest 2 Lowest,Thriller;Crime;Drama
1029281,Strange Darling,Crime;Horror;Thriller
240,The Godfather Part II,Drama;Crime
10138,Iron Man 2,Adventure;Action;Science Fiction
694,The Shining,Horror;Thriller
156022,The Equalizer,Thriller;Action;Crime
829560,The Next 365 Days,Romance;Drama
823464,Godzilla x Kong: The New Empire,Action;Adventure;Science Fiction
414906,The Batman,Crime;Mystery;Thriller
1312946,The Map That Leads to You,Romance;Drama
1051486,Stockholm Bloodbath,Action;History;Drama;Adventure;War
177572,Big Hero 6,Adventure;Family;Animation;Action;Comedy
1319895,Hostile Takeover,Action;Comedy;Thriller
30484,Warrior Queen,Action;History;Adventure
652,Troy,War;Action;History
121,The Lord of the Rings: The Two Towers,Adventure;Fantasy;Action
557,Spider-Man,Action;Science Fiction
615457,Nobody,Action;Thriller
425274,Now You See Me: Now You Don't,Thriller;Crime;Mystery
12444,Harry Potter and the Deathly Hallows: Part 1,Adventure;Fantasy
866398,The Beekeeper,Action;Crime;Thriller
497,The Green Mile,Fantasy;Drama;Crime
809,Shrek 2,Animation;Family;Comedy;Fantasy;Adventure;Romance
650498,Twittering Birds Never Fly: The Clouds Gather,Animation;Drama
122917,The Hobbit: The Battle of the Five Armies,Action;Adventure;Fantasy
648878,Eddington,Western;Comedy;Crime
603692,John Wick: Chapter 4,Action;Thriller;Crime
324857,Spider-Man: Into the Spider-Verse,Animation;Action;Adventure;Science Fiction
1369679,Get Fast,Action;Crime;Thriller
558449,Gladiator II,Action;Adventure;Drama
854,The Mask,Romance;Comedy;Crime;Fantasy
1265344,Swiped,History;Drama
49026,The Dark Knight Rises,Action;Crime;Drama;Thriller
1265344,Swiped,History;Drama
49026,The Dark Knight Rises,Action;Crime;Drama;Thriller
1044736,I Swear,Drama
426063,Nosferatu,Horror;Fantasy
1164355,Lembayung,Horror;Thriller
1408208,Exit 8,Horror;Mystery;Thriller
566263,A Christmas Tree,Animation;Family;Fantasy
1278950,The Ritual,Horror;Drama;Thriller
559,Spider-Man 3,Action;Adventure;Science Fiction
259693,The Conjuring 2,Horror
1579,Apocalypto,Action;Drama;History
767,Harry Potter and the Half-Blood Prince,Adventure;Fantasy
1285965,Dangerous Animals,Horror;Thriller
8587,The Lion King,Family;Animation;Drama;Adventure
1477114,Sorority,Drama;Romance
792307,Poor Things,Science Fiction;Romance;Comedy
1426776,STRAW,Thriller;Drama;Crime
1726,Iron Man,Action;Science Fiction;Adventure
38757,Tangled,Animation;Family;Adventure
786892,Furiosa: A Mad Max Saga,Action;Science Fiction;Adventure
1241436,Warfare,War;Action
16869,Inglourious Basterds,Drama;Thriller;War
68721,Iron Man 3,Action;Adventure;Science Fiction
1440,Little Children,Drama;Romance
957119,Sidelined: The QB and Me,Comedy;Romance
502356,The Super Mario Bros. Movie,Family;Comedy;Adventure;Animation;Fantasy
769,GoodFellas,Drama;Crime
98,Gladiator,Action;Drama;Adventure
1549457,Gypsy Moon,Fantasy;Thriller
953,Madagascar,Family;Animation;Adventure;Comedy
387848,Buddy's Mom,Drama;Romance
150540,Inside Out,Animation;Family;Adventure;Drama;Comedy
1319965,All of You,Romance;Drama
335984,Blade Runner 2049,Science Fiction;Drama
146233,Prisoners,Drama;Thriller;Crime
12155,Alice in Wonderland,Family;Fantasy;Adventure
297762,Wonder Woman,Action;Adventure;Fantasy
534490,Avengement,Crime;Action
4935,Howl's Moving Castle,Fantasy;Animation;Adventure
272,Batman Begins,Drama;Crime;Action
272,Batman Begins,Drama;Crime;Action
1195631,William Tell,Action;Adventure;Drama;History
1232546,Until Dawn,Horror;Mystery
866678,Furioza,Action;Crime;Drama
73861,A Serbian Film,Crime;Horror;Thriller
12445,Harry Potter and the Deathly Hallows: Part 2,Fantasy;Adventure
976573,Elemental,Family;Fantasy;Comedy;Romance;Animation
396535,Train to Busan,Horror;Thriller;Action;Adventure
663712,Terrifier 2,Horror;Thriller
475557,Joker,Crime;Thriller;Drama
939335,Muzzle,Action;Thriller
244786,Whiplash,Drama;Music
14160,Up,Animation;Comedy;Family;Adventure
299534,Avengers: Endgame,Adventure;Science Fiction;Action
10192,Shrek Forever After,Comedy;Adventure;Fantasy;Animation;Family
270303,It Follows,Horror;Mystery
1300116,Fall for Me,Romance;Thriller
447365,Guardians of the Galaxy Vol. 3,Science Fiction;Adventure;Action;Comedy
573435,Bad Boys: Ride or Die,Action;Comedy;Crime;Thriller;Adventure
1357633,Solo Leveling -ReAwakening-,Action;Adventure;Fantasy;Animation
1930,The Amazing Spider-Man,Action;Adventure;Science Fiction
930094,"Red, White & Royal Blue",Comedy;Romance
37165,The Truman Show,Comedy;Drama
97,Tron,Science Fiction;Action;Adventure
4248,Scary Movie 2,Comedy
1429750,Everybody Loves Me When I'm Dead,Thriller;Crime;Drama
18785,The Hangover,Comedy
324786,Hacksaw Ridge,Drama;History;War
424,Schindler's List,Drama;History;War
12153,White Chicks,Comedy;Crime
46529,I Am Number Four,Action;Thriller;Science Fiction;Adventure
90980,On Our Merry Way,Comedy;Music;Romance
144069,The Corruption,Drama;Romance
12201,Edge of Darkness,Crime;Drama;Mystery;Thriller
1289936,Downton Abbey: The Grand Finale,Drama;Romance
1367575,A Line of Fire,Action;Thriller
47971,xXx: Return of Xander Cage,Action;Adventure;Crime
1252428,Anaconda,Adventure;Horror;Thriller
508947,Turning Red,Animation;Family;Comedy;Fantasy
1124619,Bride Hard,Action;Comedy
207,Dead Poets Society,Drama
1375402,Bitter Souls,Horror
80295,14 and Under,Comedy;Romance
1241752,Rita,Drama
1190511,Sitaare Zameen Par,Comedy;Drama
39254,Real Steel,Action;Science Fiction;Drama
257344,Pixels,Action;Comedy;Science Fiction;Fantasy
653346,Kingdom of the Planet of the Apes,Science Fiction;Adventure;Action;Drama;Thriller
75656,Now You See Me,Thriller;Crime
